13750.935	jam	134
13751.742	jam	135
13752.292	sandpaper	136
13755.181	parrot	134
13756.078	parrot	135
13756.621	miner	132
13759.514	surfboard	134
13760.774	surfboard	135
13761.319	surfboard	130
13764.211	shower	134
13765.108	shower	135
13765.648	shower	130
13768.223	Did you just see the word: shower?\n\n YES             NO	146
13771.327	Response	142
13771.669	bowtie	134
13772.515	bowtie	135
13773.055	bowtie	130
13775.942	pedal	134
13776.662	pedal	135
13777.200	pedal	130
13780.087	lollipop	134
13781.346	lollipop	135
13781.897	lollipop	130
13784.791	siren	134
13785.725	siren	135
13786.277	package	132
13789.183	license	134
13790.390	license	135
13790.941	poster	136
13793.838	pole	134
13795.363	pole	135
13795.906	blade	132
13798.815	groundhog	134
13799.980	groundhog	135
13800.520	groundhog	130
13803.437	pan	134
13804.961	pan	135
13805.501	wonton	132
13808.390	ostrich	134
13809.514	ostrich	135
13810.065	ostrich	130
13812.958	beaver	134
13813.753	beaver	135
13814.294	calendar	132
13817.204	bug	134
13818.727	bug	135
13819.276	eclipse	132
13822.164	scale	134
13823.120	scale	135
13823.672	hero	132
13826.567	cabbage	134
13827.630	cabbage	135
13828.169	handlebar	136
13831.057	hall	134
13831.892	hall	135
13832.432	chick	136
13835.319	puddle	134
13836.139	puddle	135
13836.678	puddle	130
13839.252	Did you just see the word: cookie?\n\n YES             NO	147
13842.878	Response	143
13843.216	omelet	134
13844.261	omelet	135
13844.802	omelet	130
13847.693	flashlight	134
13848.716	flashlight	135
13849.266	flashlight	130
13852.171	spoon	134
13853.400	spoon	135
13853.946	spoon	130
13856.835	crystal	134
13857.714	crystal	135
13858.259	library	132
13861.156	pancake	134
13862.179	pancake	135
13862.723	pancake	130
13865.632	cove	134
13866.494	cove	135
13867.036	bark	136
13869.928	lantern	134
13870.889	lantern	135
13871.432	plastic	132
13874.348	light	134
13875.871	light	135
13876.414	pear	136
13879.321	book	134
13880.845	book	135
13881.395	chess	132
13884.297	shark	134
13885.245	shark	135
13885.792	donkey	136
13888.680	dashboard	134
13889.757	dashboard	135
13890.305	lamppost	136
13893.195	line	134
13894.192	line	135
13894.735	pond	132
13897.643	sandbox	134
13898.997	sandbox	135
13899.534	sandbox	130
13902.420	goose	134
13903.266	goose	135
13903.812	goose	130
13906.703	hay	134
13907.495	hay	135
13908.042	cuff	132
13910.616	Did you just see the word: cuff?\n\n YES             NO	146
13916.253	Response	142
